Syntax version=4
Fri Jan 09 09:50:04 2015
Starting process (3579545 clocks per sec)

LogRawData=false
VarHeader=1
D:		sSCKeyInfo[1].Channel.TouchFilter.RawValue	sSCKeyInfo[1].Channel.TouchFilter.IdleValue	sSCKeyInfo[1].Channel.TouchFilter.TouchValue	sSCKeyInfo[1].Channel.Reference
D:	time(ms)	(0x7d,2)	(0x7f,2)	(0x95,2)	(0x9a,2)
D:	0.21	1744	1745	1745	1746
D:	95.67	1747	1745	1745	1746
D:	191.65	1746	1745	1745	1746
D:	479.69	1745	1745	1745	1746
D:	495.67	1745	1745	1745	1746
D:	575.64	1746	1745	1745	1746
D:	671.64	1747	1745	1745	1746
D:	767.63	1746	1745	1745	1746
D:	867.65	1747	1745	1745	1746
D:	963.66	1746	1745	1745	1745
D:	1059.65	1748	1746	1746	1745
D:	1155.67	1746	1746	1746	1745
D:	1171.66	1746	1746	1746	1745
D:	1347.65	1744	1746	1746	1745
D:	1443.67	1746	1746	1746	1745
D:	1459.66	1746	1746	1746	1745
D:	1539.63	1747	1746	1746	1745
D:	1731.64	1745	1746	1746	1745
D:	1747.63	1745	1746	1746	1745
D:	2023.63	1747	1746	1746	1745
D:	2119.63	1748	1747	1747	1746
D:	2135.66	1748	1747	1747	1746
D:	2215.65	1747	1747	1747	1746
D:	2311.65	1745	1747	1747	1746
D:	2407.63	1747	1747	1747	1746
D:	2423.67	1747	1747	1747	1746
D:	2599.64	1746	1747	1747	1746
D:	2695.63	1745	1747	1747	1746
D:	2711.66	1745	1747	1747	1746
D:	2891.66	1746	1747	1747	1746
D:	3083.64	1745	1747	1747	1746
D:	3099.68	1745	1747	1747	1746
D:	3179.65	1747	1747	1747	1746
D:	3275.65	1746	1747	1747	1746
D:	3371.63	1747	1747	1747	1746
D:	3387.66	1747	1747	1747	1746
D:	3563.64	1746	1747	1747	1746
D:	3659.63	1745	1747	1747	1746
D:	3675.67	1745	1747	1747	1746
D:	3839.65	1746	1747	1747	1746
D:	4127.63	1745	1747	1747	1746
D:	4143.67	1745	1747	1747	1746
D:	4223.66	1744	1746	1746	1746
D:	4319.63	1746	1746	1746	1746
D:	4607.66	1745	1746	1746	1746
D:	4703.63	1747	1746	1746	1746
D:	4719.68	1747	1746	1746	1746
D:	4799.69	1745	1746	1746	1746
D:	4899.64	1748	1746	1746	1746
D:	4995.63	1746	1746	1746	1746
D:	5091.63	1748	1746	1746	1746
D:	5107.69	1748	1746	1746	1746
D:	5187.68	1745	1746	1746	1746
D:	5203.65	1745	1746	1746	1746
D:	5283.64	1745	1745	1745	1746
D:	5379.74	1747	1745	1745	1746
D:	5571.66	1745	1745	1745	1746
D:	5959.66	1746	1745	1745	1746
D:	6055.64	1745	1745	1745	1746
D:	6343.68	1746	1746	1746	1746
D:	6535.67	1745	1746	1746	1746
D:	6631.63	1746	1746	1746	1746
D:	6827.66	1748	1746	1746	1746
D:	6843.66	1748	1746	1746	1746
D:	6923.65	1747	1746	1746	1746
D:	7115.64	1745	1746	1746	1746
D:	7211.63	1746	1746	1746	1746
D:	7307.63	1747	1746	1746	1746
D:	7403.68	1747	1747	1747	1746
D:	7419.66	1747	1747	1747	1746
D:	7499.65	1746	1747	1747	1746
D:	7691.65	1745	1747	1747	1746
D:	7787.64	1746	1747	1747	1746
D:	7871.64	1747	1747	1747	1746
D:	7967.63	1742	1747	1747	1746
D:	8063.64	1738	1747	1747	1746
D:	8079.67	1738	1747	1747	1746
D:	8159.65	1734	1747	1747	1746
D:	8255.64	1727	1747	1727	1745
D:	8351.67	1710	1747	1710	1745
D:	8447.63	1693	1746	1693	1745
D:	8639.64	1694	1746	1694	1745
D:	8655.68	1694	1746	1694	1745
D:	8735.66	1693	1746	1693	1745
D:	8819.66	1691	1746	1691	1745
D:	8915.73	1695	1746	1695	1745
D:	9011.64	1692	1746	1692	1745
D:	9107.66	1693	1746	1693	1745
D:	9203.64	1694	1746	1694	1745
D:	9299.63	1695	1746	1695	1745
D:	9395.64	1692	1746	1692	1745
D:	9411.67	1692	1746	1692	1745
D:	9475.63	1694	1745	1694	1745
D:	9491.70	1694	1745	1694	1745
D:	9571.66	1696	1745	1696	1745
D:	9587.68	1696	1745	1696	1745
D:	9667.65	1691	1745	1691	1745
D:	9763.66	1694	1745	1694	1745
D:	9847.65	1691	1745	1691	1745
D:	9943.74	1695	1745	1695	1745
D:	10023.64	1693	1745	1693	1745
D:	10119.63	1694	1745	1694	1745
D:	10215.64	1693	1745	1693	1745
D:	10295.63	1694	1745	1694	1745
D:	10487.63	1691	1745	1691	1745
D:	10503.69	1691	1745	1691	1745
D:	10583.65	1697	1744	1697	1745
D:	10663.66	1690	1744	1690	1745
D:	10679.65	1690	1744	1690	1745
D:	10759.63	1696	1744	1696	1745
D:	10775.65	1696	1744	1696	1745
D:	10843.64	1691	1744	1691	1745
D:	10859.63	1691	1744	1691	1745
D:	10939.65	1695	1744	1695	1745
D:	11035.66	1694	1744	1694	1745
D:	11115.67	1692	1744	1692	1745
D:	11211.64	1694	1744	1694	1745
D:	11307.62	1692	1744	1692	1745
D:	11387.64	1695	1744	1695	1745
D:	11483.63	1691	1744	1691	1745
D:	11579.63	1696	1744	1696	1745
D:	11659.62	1691	1743	1691	1745
D:	11755.63	1696	1743	1696	1745
D:	11855.63	1690	1743	1690	1745
D:	11935.63	1694	1743	1694	1745
D:	12031.63	1692	1743	1692	1745
D:	12127.63	1695	1743	1695	1745
D:	12143.69	1695	1743	1695	1745
D:	12207.63	1694	1743	1694	1745
D:	12303.63	1693	1743	1693	1745
D:	12399.64	1695	1743	1695	1745
D:	12415.67	1695	1743	1695	1745
D:	12479.63	1691	1743	1691	1745
D:	12495.67	1691	1743	1691	1745
D:	12575.64	1696	1743	1696	1745
D:	12671.65	1690	1743	1690	1745
D:	12751.64	1696	1742	1696	1745
D:	12767.66	1696	1742	1696	1745
D:	12851.65	1690	1742	1690	1745
D:	12931.64	1690	1742	1695	1745
D:	12947.67	1695	1742	1695	1745
D:	13027.67	1692	1742	1692	1745
D:	13043.66	1692	1742	1692	1745
D:	13219.64	1693	1742	1693	1745
D:	13235.67	1693	1742	1693	1745
D:	13299.63	1692	1742	1692	1745
D:	13315.69	1692	1742	1692	1745
D:	13395.68	1695	1742	1695	1745
D:	13411.67	1695	1742	1695	1745
D:	13491.63	1691	1742	1691	1745
D:	13507.68	1691	1742	1691	1745
D:	13571.63	1696	1742	1696	1745
D:	13667.64	1690	1742	1690	1745
D:	13763.64	1696	1742	1696	1745
D:	13847.63	1692	1741	1692	1745
D:	13943.63	1695	1741	1695	1745
D:	14023.63	1692	1741	1692	1745
D:	14119.63	1693	1741	1693	1745
D:	14215.63	1694	1741	1694	1745
D:	14295.63	1692	1741	1692	1745
D:	14391.63	1694	1741	1694	1745
D:	14487.62	1692	1741	1692	1745
D:	14583.61	1696	1741	1696	1745
D:	14663.63	1690	1741	1690	1745
D:	14759.64	1696	1741	1696	1745
D:	14843.64	1692	1741	1692	1745
D:	14939.64	1694	1740	1694	1745
D:	15035.66	1693	1740	1693	1745
D:	15115.63	1694	1740	1694	1745
D:	15211.65	1692	1740	1692	1745
D:	15387.67	1695	1740	1695	1745
D:	15403.66	1695	1740	1695	1745
D:	15483.63	1689	1740	1689	1745
D:	15499.68	1689	1740	1689	1745
D:	15579.63	1696	1740	1696	1745
D:	15595.69	1696	1740	1696	1745
D:	15659.63	1690	1740	1690	1745
D:	15755.63	1694	1740	1694	1745
D:	15855.63	1691	1740	1691	1745
D:	15935.68	1694	1740	1694	1745
D:	16031.75	1692	1739	1692	1745
D:	16127.64	1693	1739	1693	1745
D:	16207.68	1694	1739	1694	1745
D:	16223.66	1694	1739	1694	1745
D:	16303.64	1693	1739	1693	1745
D:	16319.66	1693	1739	1693	1745
D:	16399.63	1695	1739	1695	1745
D:	16479.63	1697	1739	1697	1745
D:	16671.63	1690	1739	1690	1745
D:	16751.74	1695	1739	1695	1745
D:	16851.64	1692	1739	1692	1745
D:	16947.64	1693	1739	1693	1745
D:	17027.63	1692	1739	1692	1745
D:	17043.66	1692	1739	1692	1745
D:	17123.63	1693	1738	1693	1745
D:	17139.67	1693	1738	1693	1745
D:	17395.64	1695	1738	1695	1745
D:	17491.63	1689	1738	1689	1745
D:	17571.71	1695	1738	1695	1745
D:	17667.64	1691	1738	1691	1745
D:	17763.65	1695	1738	1695	1745
D:	17847.64	1692	1738	1692	1745
D:	17863.65	1692	1738	1692	1745
D:	17943.62	1694	1738	1694	1745
D:	17959.67	1694	1738	1694	1745
D:	18023.63	1694	1738	1689	1745
D:	18039.63	1689	1738	1689	1745
D:	18119.61	1694	1738	1694	1745
D:	18215.63	1693	1737	1693	1745
D:	18311.64	1695	1737	1695	1745
D:	18487.65	1691	1737	1691	1745
D:	18583.65	1697	1737	1697	1745
D:	18663.63	1691	1737	1691	1745
D:	18679.67	1691	1737	1691	1745
D:	18759.64	1694	1737	1694	1745
D:	18843.63	1692	1737	1692	1745
D:	18939.63	1693	1737	1693	1745
D:	19035.62	1695	1737	1695	1745
D:	19115.67	1694	1737	1694	1745
D:	19211.66	1695	1737	1695	1745
D:	19307.66	1691	1736	1691	1745
D:	19403.66	1698	1736	1698	1745
D:	19483.63	1690	1736	1690	1745
D:	19579.63	1696	1736	1696	1745
D:	19675.64	1692	1736	1692	1745
D:	19755.63	1694	1736	1694	1745
D:	19951.64	1692	1736	1692	1745
D:	20047.66	1697	1736	1697	1745
D:	20127.63	1695	1736	1695	1745
D:	20143.68	1695	1736	1695	1745
D:	20223.63	1691	1736	1691	1745
D:	20319.63	1694	1735	1694	1745
D:	20415.63	1695	1735	1695	1745
D:	20511.63	1691	1735	1691	1745
D:	20607.63	1695	1735	1695	1745
